LOCATION,SUBJECT,TIME,Value
KOR,GG,1985,19.3086843309731
KOR,GG,1986,17.7776750391324
KOR,GG,1987,16.0954975233932
KOR,GG,1988,15.9790898541522
CAN,HH,1981,29.3103448275862
CAN,HH,1982,26.6919310100791
CAN,HH,1983,31.6861416878352
CAN,HH,1984,32.4647017769904
CAN,HH,1985,30.4844598118565
CAN,HH,1986,33.4855801778219
CAN,HH,1987,35.8550378335325
CAN,HH,1988,35.8703774196732
KOR,HH,1980,21.7517152658662
KOR,HH,1981,14.6360397576833
KOR,HH,1982,15.8694336207251
KOR,HH,1983,19.3174816489504
KOR,HH,1984,22.207993010078
KOR,HH,1985,19.2013754004854
KOR,HH,1986,23.9520107787516
KOR,HH,1987,23.6424878072651
KOR,HH,1988,25.3528810701916
USA,CORP,1980,50.5273285861182
USA,CORP,1981,51.9332690983084
USA,CORP,1982,53.0010764840971
USA,CORP,1983,49.2044823977057
USA,CORP,1984,49.5438417046305
USA,CORP,1985,49.3023107779979
USA,CORP,1986,46.969765293429
USA,CORP,1987,45.2640591379628
USA,CORP,1988,45.8380944535037
NOR,CORP,1980,52.6574836406231
NOR,CORP,1981,55.7722043392428
NOR,CORP,1982,56.9004347142932
NOR,CORP,1983,60.2541211962628
NOR,CORP,1984,61.1881188118812
NOR,CORP,1985,60.3859841226389
NOR,CORP,1986,59.7205984109184
NOR,CORP,1987,57.7666594547815
NOR,CORP,1988,57.8197705395517
FIN,HH,1980,33.8553561718325
FIN,HH,1981,31.864406779661
FIN,HH,1982,32.5521942905837
FIN,HH,1983,31.2537673297167
FIN,HH,1984,31.36725412166
FIN,HH,1985,29.3223396031951
FIN,HH,1986,27.349853515625
FIN,HH,1987,25.7570770243581
FIN,HH,1988,27.1326794966691
CAN,GG,1981,15.1190295349493
CAN,GG,1982,17.6572648304359
CAN,GG,1983,18.0152413209145
CAN,GG,1984,18.4785526386428
CAN,GG,1985,19.3513492630725
CAN,GG,1986,17.6440853906215
CAN,GG,1987,15.8749502190362
CAN,GG,1988,15.2257891694511
